study,pmid,doi,vector,vector_subsp,vector_strain,vector_origin_country,vector_origin_locality,vector_origin_year,vector_gen,virus,viral_lineage,viral_strain,viral_gen_bank_accession,viral_origin_locality,viral_origin_year,viral_history_passage,viral_history_freshness,exposure_route,host_exp,host_lineage_origin,diagnostic_virem,titer,titer_units,dose,dose_units,temp_o_c_reared,temp_o_c_eit,dpi,coinfected,sample_31,diagnostic_32,number_tested_33,number_positive_34,sample_35,diagnostic_36,number_tested_37,number_positive_38,sample_39,diagnostic_40,number_tested_41,number_positive_42,sample_43,diagnostic_44,number_tested_45,number_positive_46,sample_47,diagnostic_48,number_tested_49,number_positive_50
Dickson et al. 2014 PLoS Negl Trop Dis,25275366,10.1371/journal.pntd.0003153,Aedes aegypti,NA,NA,Senegal,Kedougou,2011,10-15,Yellow fever virus,NA,Dak1279,NA,"Diourbel, Senegal",1965,suckling mice p6,"frozen, -80ºC",NA,NA,NA,NA,5.9log10,PFU/ml,NA,NA,28ºC,28ºC,14,no,midgut,plaque assay,29,3,head/thorax,plaque assay,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickson et al. 2014 PLoS Negl Trop Dis,25275366,10.1371/journal.pntd.0003153,Aedes aegypti,NA,NA,Senegal,PK10,2011,10-15,Yellow fever virus,NA,Dak1279,NA,"Diourbel, Senegal",1965,suckling mice p6,"frozen, -80ºC",NA,NA,NA,NA,5.9log10,PFU/ml,NA,NA,28ºC,28ºC,14,no,midgut,plaque assay,27,6,head/thorax,plaque assay,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickson et al. 2014 PLoS Negl Trop Dis,25275366,10.1371/journal.pntd.0003153,Aedes aegypti,NA,NA,Senegal,Mont Rolland,2010,10-15,Yellow fever virus,NA,Dak1279,NA,"Diourbel, Senegal",1965,suckling mice p6,"frozen, -80ºC",NA,NA,NA,NA,5.9log10,PFU/ml,NA,NA,28ºC,28ºC,14,no,midgut,plaque assay,30,6,head/thorax,plaque assay,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickson et al. 2014 PLoS Negl Trop Dis,25275366,10.1371/journal.pntd.0003153,Aedes aegypti,NA,NA,Senegal,Rufisque,2010,10-15,Yellow fever virus,NA,Dak1279,NA,"Diourbel, Senegal",1965,suckling mice p6,"frozen, -80ºC",NA,NA,NA,NA,5.9log10,PFU/ml,NA,NA,28ºC,28ºC,14,no,midgut,plaque assay,28,3,head/thorax,plaque assay,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,"16681, infectious cDNA clone 30P-NBX",NA,"Bangkok, Thailand",1964,p0 - C6/36 cells,fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,34,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,"16681, infectious cDNA clone 30P-NBX",NA,"Bangkok, Thailand",1964,"p1 - C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,"16681, infectious cDNA clone 30P-NBX",NA,"Bangkok, Thailand",1964,"p2 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,36,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,"16681, infectious cDNA clone 30P-NBX",NA,"Bangkok, Thailand",1964,"p3 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,34,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,"16681, infectious cDNA clone 30P-NBX",NA,"Bangkok, Thailand",1964,"p4 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived 382VEPG∆,NA,NA,NA,p0 - C6/36 cells,fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived 382VEPG∆,NA,NA,NA,"p1 - C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived 382VEPG∆,NA,NA,NA,"p2 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,34,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived 382VEPG∆,NA,NA,NA,"p3 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived 382VEPG∆,NA,NA,NA,"p4 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived VEP382RGD (382RGD),NA,NA,NA,p0 - C6/36 cells,fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,25,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived VEP382RGD (382RGD),NA,NA,NA,"p1 - C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived VEP382RGD (382RGD),NA,NA,NA,"p2 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived VEP382RGD (382RGD),NA,NA,NA,"p3 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,30P-NBX-derived VEP382RGD (382RGD),NA,NA,NA,"p4 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,J1409 infectious cDNA clone,NA,Jamaica,1983,p0 - C6/36 cells,fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,J1409 infectious cDNA clone,NA,Jamaica,1983,"p1 - C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,28,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,J1409 infectious cDNA clone,NA,Jamaica,1983,"p2 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,J1409 infectious cDNA clone,NA,Jamaica,1983,"p3 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erb et al. 2022 Viruses,35891549,10.3390/v14071569,Aedes aegypti,NA,RexD,United States of America,"Rexville, Puerto Rico",NA,NA,Dengue virus,DENV2,J1409 infectious cDNA clone,NA,Jamaica,1983,"p4 - C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells, Ae. aegypti, C6/36 cells",fresh,bloodmeal,NA,NA,NA,6.2 to 9.2 log10,TCID50/ml,NA,NA,28,NA,7,no,midgut,IFA,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Aedes aegypti,NA,NA,Mexico,Poza Rica,2012,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000000,PFU/ml,NA,NA,28,28,4,no,midgut,qRT-PCR,40,10,salivary glands,qRT-PCR,40,2,saliva,qRT-PCR,40,2,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Aedes aegypti,NA,NA,Mexico,Poza Rica,2012,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000001,PFU/ml,NA,NA,28,28,8,no,midgut,qRT-PCR,39,24,salivary glands,qRT-PCR,39,22,saliva,qRT-PCR,39,10,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Aedes aegypti,NA,NA,Mexico,Poza Rica,2012,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000002,PFU/ml,NA,NA,28,28,12,no,midgut,qRT-PCR,39,15,salivary glands,qRT-PCR,39,19,saliva,qRT-PCR,39,12,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex tarsalis,NA,NA,United States of America,California,1953,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000003,PFU/ml,NA,NA,26-27,26-27,4,no,midgut,qRT-PCR,36,29,salivary glands,qRT-PCR,36,27,saliva,qRT-PCR,36,2,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex tarsalis,NA,NA,United States of America,California,1953,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000004,PFU/ml,NA,NA,26-27,26-27,8,no,midgut,qRT-PCR,36,34,salivary glands,qRT-PCR,36,34,saliva,qRT-PCR,36,14,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex tarsalis,NA,NA,United States of America,California,1953,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000005,PFU/ml,NA,NA,26-27,26-27,12,no,midgut,qRT-PCR,36,35,salivary glands,qRT-PCR,36,35,saliva,qRT-PCR,36,35,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex quinquefasciatus,NA,NA,United States of America,Florida,1988,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000006,PFU/ml,NA,NA,26-27,26-27,4,no,midgut,qRT-PCR,36,36,salivary glands,qRT-PCR,36,20,saliva,qRT-PCR,36,5,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex quinquefasciatus,NA,NA,United States of America,Florida,1988,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000007,PFU/ml,NA,NA,26-27,26-27,8,no,midgut,qRT-PCR,36,36,salivary glands,qRT-PCR,36,15,saliva,qRT-PCR,36,3,NA,NA,NA,NA,NA,NA,NA,NA
Fitzmeyer et al. 2023 iScience,37701570,10.1016/j.isci.2023.107711,Culex quinquefasciatus,NA,NA,United States of America,Florida,1988,NA,West Nile virus,Lineage I,3356 - barcoded,NA,NA,NA,P2,"frozen, -80ºC",bloodmeal,NA,NA,NA,35000008,PFU/ml,NA,NA,26-27,26-27,12,no,midgut,qRT-PCR,36,36,salivary glands,qRT-PCR,36,24,saliva,qRT-PCR,36,9,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M2,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,7,no,body,plaque assay,47,14,legs,plaque assay,47,1,saliva,plaque assay,47,0,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M2,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,14,no,body,plaque assay,43,16,legs,plaque assay,43,3,saliva,plaque assay,43,2,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M8,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,7,no,body,plaque assay,47,22,legs,plaque assay,47,1,saliva,plaque assay,47,0,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M8,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,14,no,body,plaque assay,47,19,legs,plaque assay,47,3,saliva,plaque assay,47,1,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M24,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,7,no,body,plaque assay,47,24,legs,plaque assay,47,3,saliva,plaque assay,47,1,NA,NA,NA,NA,NA,NA,NA,NA
Fitzpatrick et al. 2010 Virology,20552731,10.1016/j.virol.2010.04.029,Culex quinquefasciatus,NA,NA,NA,NA,NA,NA,West Nile virus,NA,M24,NA,NA,NA,"Vero, C6/36 2 passages","frozen, -80ºC",bloodmeal,NA,NA,NA,30000000,PFU/ml,NA,NA,27ºC,27ºC,14,no,body,plaque assay,47,32,legs,plaque assay,47,7,saliva,plaque assay,47,2,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,32,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,34,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Jamaica 1409,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,5E6 - 2.8E7,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Indonesia 1051,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,21000000,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Indonesia 1051,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,21000000,PFU/ml,NA,NA,28ºC,28ºC,12,no,body,plaque assay,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,"Jamaica 1409, low passage",NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,50000000,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,"Jamaica 1409, low passage",NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,50000000,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Puerto Rico 159,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,1350000,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,Puerto Rico 159,NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,1350000,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,"Jamaica 1409, high passage",NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,8000000,PFU/ml,NA,NA,28ºC,28ºC,7,no,body,plaque assay,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franz et al. 2009 Insect Mol Biol,19754743,10.1111/j.1365-2583.2009.00908.x,Aedes aegypti,NA,HWE,NA,NA,NA,NA,Dengue virus,DENV2,"Jamaica 1409, high passage",NA,NA,NA,NA,NA,bloodmeal,NA,NA,NA,8000000,PFU/ml,NA,NA,28ºC,28ºC,14,no,body,plaque assay,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
